timestamp,device_id,temperature,humidity,status
2025-01-01 00:00:00,D01,20.1,45.0,ok
2025-01-01 01:00:00,D01,20.4,46.0,ok
2025-01-01 02:00:00,D01,,47.5,missing
2025-01-01 03:00:00,D01,21.0,48.0,ok
2025-01-01 04:00:00,D01,35.5,49.0,alert
2025-01-01 05:00:00,D01,21.2,,missing
2025-01-01 00:00:00,D02,18.5,55.0,ok
2025-01-01 01:00:00,D02,18.7,54.5,ok
2025-01-01 02:00:00,D02,18.8,54.0,ok
2025-01-01 03:00:00,D02,19.0,53.5,ok
2025-01-01 04:00:00,D02,,53.0,missing
2025-01-01 05:00:00,D02,19.3,52.5,ok
2025-01-02 00:00:00,D01,19.8,44.0,ok
2025-01-02 01:00:00,D01,20.0,44.5,ok
2025-01-02 02:00:00,D01,20.2,45.0,ok
2025-01-02 03:00:00,D01,20.5,45.5,ok
2025-01-02 04:00:00,D01,20.7,46.0,ok
2025-01-02 05:00:00,D01,20.9,46.5,ok
2025-01-02 00:00:00,D02,18.0,56.0,ok
2025-01-02 01:00:00,D02,18.2,55.5,ok
2025-01-02 02:00:00,D02,18.4,55.0,ok
2025-01-02 03:00:00,D02,18.6,54.5,ok
2025-01-02 04:00:00,D02,18.8,54.0,ok
2025-01-02 05:00:00,D02,19.0,53.5,ok
